settlementDate,settlementPeriodFrom,settlementPeriodTo,timeFrom,timeTo,levelFrom,levelTo,nationalGridBmUnit,bmUnit,acceptanceNumber,acceptanceTime,deemedBoFlag,soFlag,storFlag,rrFlag
2025-11-21,1,2,2025-11-21T00:29:00Z,2025-11-21T00:34:00Z,776,650,ROCK-1,T_ROCK-1,222266,2025-11-21T00:27:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:29:00Z,2025-11-21T00:30:00Z,0,-9,FFSE01,2__FFSEN005,29964,2025-11-21T00:22:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:29:00Z,2025-11-21T00:30:00Z,0,-7,LKSDB-1,T_LKSDB-1,26804,2025-11-21T00:22:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:29:00Z,2025-11-21T00:30:00Z,-8,-7,LKSDB-1,T_LKSDB-1,26805,2025-11-21T00:25:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:29:00Z,2025-11-21T00:30:00Z,0,-1,WTRSB-1,2__GCMRO002,30578,2025-11-21T00:22:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:28:00Z,2025-11-21T00:43:00Z,371,371,SHOS-1,E_SHOS-1,165865,2025-11-21T00:26:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:27:00Z,2025-11-21T00:31:00Z,-49,-49,AG-CBS08M,V__MCEND001,13906,2025-11-21T00:25:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:27:00Z,2025-11-21T00:31:00Z,-40,-40,BARNB-1,E_BARNB-1,39389,2025-11-21T00:25:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:27:00Z,2025-11-21T00:31:00Z,-27,-27,BLHLB-2,T_BLHLB-2,17000,2025-11-21T00:25:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:27:00Z,2025-11-21T00:30:00Z,0,0,PILLB-1,E_PILLB-1,46349,2025-11-21T00:25:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:27:00Z,2025-11-21T00:29:00Z,-8,-8,LKSDB-1,T_LKSDB-1,26805,2025-11-21T00:25:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:26:00Z,2025-11-21T00:35:00Z,350,447,SHOS-1,E_SHOS-1,165864,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:26:00Z,2025-11-21T00:28:00Z,842,844,LAGA-1,T_LAGA-1,161438,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:26:00Z,2025-11-21T00:27:00Z,0,-49,AG-CBS08M,V__MCEND001,13906,2025-11-21T00:25:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:26:00Z,2025-11-21T00:27:00Z,0,-40,BARNB-1,E_BARNB-1,39389,2025-11-21T00:25:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:26:00Z,2025-11-21T00:27:00Z,0,-27,BLHLB-2,T_BLHLB-2,17000,2025-11-21T00:25:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:26:00Z,2025-11-21T00:27:00Z,0,-8,LKSDB-1,T_LKSDB-1,26805,2025-11-21T00:25:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:26:00Z,2025-11-21T00:27:00Z,1,0,PILLB-1,E_PILLB-1,46349,2025-11-21T00:25:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:24:00Z,2025-11-21T00:25:00Z,30,0,WBURB-1,T_WBURB-1,152406,2025-11-20T23:02:00Z,False,False,False,False
2025-11-21,1,2,2025-11-21T00:23:00Z,2025-11-21T00:38:00Z,350,350,GRAI-6,T_GRAI-6,153842,2025-11-21T00:18:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:23:00Z,2025-11-21T00:29:00Z,350,418,GRAI-6,T_GRAI-6,153841,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:22:00Z,2025-11-21T00:26:00Z,750,842,LAGA-1,T_LAGA-1,161438,2025-11-21T00:00:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:21:00Z,2025-11-21T00:27:00Z,180,255,SHBA-2,T_SHBA-2,198728,2025-11-20T23:53:00Z,False,False,False,False
2025-11-21,1,1,2025-11-21T00:21:00Z,2025-11-21T00:22:00Z,0,-278,DINO-1,T_DINO-1,146097,2025-11-21T00:16:00Z,False,False,False,False
