publishTime,startTime,settlementDate,settlementPeriod,initialDemandOutturn,initialTransmissionSystemDemandOutturn,hour
2025-12-16T00:30:00Z,2025-12-16T00:00:00Z,2025-12-16,1,26639,28741,0
2025-12-16T01:00:00Z,2025-12-16T00:30:00Z,2025-12-16,2,26999,29106,0
2025-12-16T01:30:00Z,2025-12-16T01:00:00Z,2025-12-16,3,26631,28997,1
2025-12-16T02:00:00Z,2025-12-16T01:30:00Z,2025-12-16,4,25930,28309,1
2025-12-16T02:30:00Z,2025-12-16T02:00:00Z,2025-12-16,5,25553,28191,2
2025-12-16T03:00:00Z,2025-12-16T02:30:00Z,2025-12-16,6,24838,27645,2
2025-12-16T03:30:00Z,2025-12-16T03:00:00Z,2025-12-16,7,24482,27450,3
2025-12-16T04:00:00Z,2025-12-16T03:30:00Z,2025-12-16,8,24202,27107,3
2025-12-16T04:30:00Z,2025-12-16T04:00:00Z,2025-12-16,9,24044,27484,4
2025-12-16T05:00:00Z,2025-12-16T04:30:00Z,2025-12-16,10,23940,27661,4
2025-12-16T05:30:00Z,2025-12-16T05:00:00Z,2025-12-16,11,23640,27705,5
2025-12-16T06:00:00Z,2025-12-16T05:30:00Z,2025-12-16,12,24944,28960,5
2025-12-16T06:30:00Z,2025-12-16T06:00:00Z,2025-12-16,13,27189,31590,6
2025-12-16T07:00:00Z,2025-12-16T06:30:00Z,2025-12-16,14,29907,34329,6
2025-12-16T07:30:00Z,2025-12-16T07:00:00Z,2025-12-16,15,32472,36280,7
2025-12-16T08:00:00Z,2025-12-16T07:30:00Z,2025-12-16,16,33816,37618,7
2025-12-16T08:30:00Z,2025-12-16T08:00:00Z,2025-12-16,17,35604,39276,8
2025-12-16T09:00:00Z,2025-12-16T08:30:00Z,2025-12-16,18,36010,39642,8
2025-12-16T09:30:00Z,2025-12-16T09:00:00Z,2025-12-16,19,36950,39560,9
2025-12-16T10:00:00Z,2025-12-16T09:30:00Z,2025-12-16,20,37031,39618,9
2025-12-16T10:30:00Z,2025-12-16T10:00:00Z,2025-12-16,21,36687,39379,10
2025-12-16T11:00:00Z,2025-12-16T10:30:00Z,2025-12-16,22,36409,39110,10
2025-12-16T11:30:00Z,2025-12-16T11:00:00Z,2025-12-16,23,36240,39117,11
2025-12-16T12:00:00Z,2025-12-16T11:30:00Z,2025-12-16,24,36123,39017,11
2025-12-16T12:30:00Z,2025-12-16T12:00:00Z,2025-12-16,25,36129,39393,12
2025-12-16T13:00:00Z,2025-12-16T12:30:00Z,2025-12-16,26,36339,39632,12
2025-12-16T13:30:00Z,2025-12-16T13:00:00Z,2025-12-16,27,36224,40341,13
2025-12-16T14:00:00Z,2025-12-16T13:30:00Z,2025-12-16,28,36242,40414,13
2025-12-16T14:30:00Z,2025-12-16T14:00:00Z,2025-12-16,29,36226,40600,14
2025-12-16T15:00:00Z,2025-12-16T14:30:00Z,2025-12-16,30,36744,41112,14
2025-12-16T15:30:00Z,2025-12-16T15:00:00Z,2025-12-16,31,36964,41221,15
2025-12-16T16:00:00Z,2025-12-16T15:30:00Z,2025-12-16,32,38014,42266,15
2025-12-16T16:30:00Z,2025-12-16T16:00:00Z,2025-12-16,33,39335,43399,16
2025-12-16T17:00:00Z,2025-12-16T16:30:00Z,2025-12-16,34,40031,43971,16
2025-12-16T17:30:00Z,2025-12-16T17:00:00Z,2025-12-16,35,40395,43505,17
2025-12-16T18:00:00Z,2025-12-16T17:30:00Z,2025-12-16,36,40392,43458,17
2025-12-16T18:30:00Z,2025-12-16T18:00:00Z,2025-12-16,37,40289,43282,18
2025-12-16T19:00:00Z,2025-12-16T18:30:00Z,2025-12-16,38,39830,42648,18
2025-12-16T19:30:00Z,2025-12-16T19:00:00Z,2025-12-16,39,38843,41305,19
2025-12-16T20:00:00Z,2025-12-16T19:30:00Z,2025-12-16,40,38064,40223,19
2025-12-16T20:30:00Z,2025-12-16T20:00:00Z,2025-12-16,41,37157,39676,20
2025-12-16T21:00:00Z,2025-12-16T20:30:00Z,2025-12-16,42,35972,38347,20
2025-12-16T21:30:00Z,2025-12-16T21:00:00Z,2025-12-16,43,34384,37737,21
2025-12-16T22:00:00Z,2025-12-16T21:30:00Z,2025-12-16,44,33303,36685,21
2025-12-16T22:30:00Z,2025-12-16T22:00:00Z,2025-12-16,45,31391,34679,22
2025-12-16T23:00:00Z,2025-12-16T22:30:00Z,2025-12-16,46,29324,32766,22
2025-12-16T23:30:00Z,2025-12-16T23:00:00Z,2025-12-16,47,28192,30853,23
2025-12-17T00:00:00Z,2025-12-16T23:30:00Z,2025-12-16,48,26825,29534,23
