period,low_price,high_price,last_price,weight_avg_price,buy_volume,sell_volume,volume
00:00 - 00:30,-15.0,18.69,-3.0,4.27,1367.5,1367.5,1367.5
00:30 - 01:00,-13.99,19.98,-5.97,-1.06,1770.3,1770.3,1770.3
01:00 - 01:30,-6.17,54.8,0.01,0.75,1333.3,1333.3,1333.3
01:30 - 02:00,-14.43,54.0,5.0,2.09,1311.5,1311.5,1311.5
02:00 - 02:30,-0.99,50.0,9.0,4.32,1364.6,1364.6,1364.6
02:30 - 03:00,-14.94,51.87,6.55,4.32,1487.2,1487.2,1487.2
03:00 - 03:30,-3.03,50.0,6.21,6.86,1792.9,1792.9,1792.9
03:30 - 04:00,-2.78,15.0,2.25,5.26,2033.7,2033.7,2033.7
04:00 - 04:30,-7.05,12.89,-3.0,4.64,1646.1,1646.1,1646.1
04:30 - 05:00,-46.59,12.32,-3.0,0.77,1668.9,1668.9,1668.9
05:00 - 05:30,-10.72,19.28,-0.26,5.21,1772.5,1772.5,1772.5
05:30 - 06:00,-15.41,22.0,-1.56,2.66,1686.5,1686.5,1686.5
06:00 - 06:30,-6.9,39.85,16.1,17.28,1847.3,1847.3,1847.3
06:30 - 07:00,-1.9,59.32,30.0,31.64,1495.4,1495.4,1495.4
07:00 - 07:30,38.55,80.6,58.0,55.05,1796.0,1796.0,1796.0
07:30 - 08:00,40.38,86.0,86.0,66.5,1794.3,1794.3,1794.3
08:00 - 08:30,47.1,93.53,89.62,82.09,1927.0,1927.0,1927.0
08:30 - 09:00,78.0,95.99,91.99,88.08,1735.0,1735.0,1735.0
09:00 - 09:30,75.0,89.91,87.0,84.75,1964.7,1964.7,1964.7
09:30 - 10:00,78.32,92.11,91.0,85.64,1753.4,1753.4,1753.4
10:00 - 10:30,78.76,93.99,92.13,87.24,1724.4,1724.4,1724.4
10:30 - 11:00,73.28,87.0,81.5,79.87,1768.5,1768.5,1768.5
11:00 - 11:30,71.7,87.0,79.0,80.4,2122.8,2122.8,2122.8
11:30 - 12:00,16.0,79.79,75.0,71.78,1790.2,1790.2,1790.2
12:00 - 12:30,68.7,84.29,78.98,75.28,1511.3,1511.3,1511.3
12:30 - 13:00,56.12,79.8,65.78,70.43,1918.0,1918.0,1918.0
13:00 - 13:30,55.03,80.58,77.99,69.8,1890.5,1890.5,1890.5
13:30 - 14:00,61.39,90.0,83.5,76.19,1893.8,1893.8,1893.8
14:00 - 14:30,54.9,76.85,59.01,67.26,2397.2,2397.2,2397.2
14:30 - 15:00,62.83,80.0,75.0,70.41,2517.3,2517.3,2517.3
15:00 - 15:30,63.81,80.92,78.88,71.78,2087.9,2087.9,2087.9
15:30 - 16:00,68.48,91.99,90.0,78.09,2175.1,2175.1,2175.1
16:00 - 16:30,60.69,80.75,68.0,73.21,1810.8,1810.8,1810.8
16:30 - 17:00,72.4,94.99,90.5,85.36,1768.4,1768.4,1768.4
17:00 - 17:30,81.51,97.0,85.12,88.78,2281.8,2281.8,2281.8
17:30 - 18:00,78.0,105.73,88.0,93.03,2491.5,2491.5,2491.5
18:00 - 18:30,63.0,103.98,98.01,93.04,2215.7,2215.7,2215.7
18:30 - 19:00,66.0,103.3,99.3,93.37,1624.1,1624.1,1624.1
19:00 - 19:30,76.24,97.19,90.0,90.82,1380.4,1380.4,1380.4
19:30 - 20:00,76.23,94.38,89.12,89.53,1074.1,1074.1,1074.1
20:00 - 20:30,81.19,94.62,83.35,85.17,446.7,446.7,446.7
20:30 - 21:00,75.71,92.07,79.86,81.58,331.7,331.7,331.7
21:00 - 21:30,78.0,85.88,79.1,79.87,212.2,212.2,212.2
21:30 - 22:00,70.49,82.0,72.5,72.41,185.1,185.1,185.1
22:00 - 22:30,74.9,105.2,82.22,81.34,96.0,96.0,96.0
22:30 - 23:00,68.71,76.23,76.23,72.48,32.0,32.0,32.0
23:00 - 23:30,55.01,74.97,74.97,70.11,56.7,56.7,56.7
23:30 - 24:00,69.8,78.0,69.8,73.78,91.8,91.8,91.8
