period,price
23:00 - 00:00,77.84
00:00 - 01:00,77.28
01:00 - 02:00,75.09
02:00 - 03:00,74.77
03:00 - 04:00,75.33
04:00 - 05:00,78.29
05:00 - 06:00,88.99
06:00 - 07:00,116.02
07:00 - 08:00,143.86
08:00 - 09:00,150.0
09:00 - 10:00,131.11
10:00 - 11:00,117.32
11:00 - 12:00,106.49
12:00 - 13:00,103.46
13:00 - 14:00,108.7
14:00 - 15:00,118.21
15:00 - 16:00,135.04
16:00 - 17:00,154.84
17:00 - 18:00,149.97
18:00 - 19:00,136.2
19:00 - 20:00,113.73
20:00 - 21:00,95.47
21:00 - 22:00,87.98
22:00 - 23:00,85.11
