period,buy_volume,sell_volume
23:00 - 00:00,11685.9,11632.2
00:00 - 01:00,11029.7,11439.1
01:00 - 02:00,10700.9,11575.3
02:00 - 03:00,10491.4,11631.3
03:00 - 04:00,10604.7,11971.0
04:00 - 05:00,10628.6,12077.6
05:00 - 06:00,10775.1,12064.8
06:00 - 07:00,10872.4,11697.1
07:00 - 08:00,12239.5,12704.5
08:00 - 09:00,12704.7,12704.7
09:00 - 10:00,13423.7,13080.4
10:00 - 11:00,12865.8,12762.4
11:00 - 12:00,12650.6,13008.5
12:00 - 13:00,12616.7,12810.6
13:00 - 14:00,12693.3,13025.2
14:00 - 15:00,12623.1,13034.1
15:00 - 16:00,13072.3,13020.1
16:00 - 17:00,13464.9,12963.5
17:00 - 18:00,15289.0,14338.5
18:00 - 19:00,16165.9,14766.2
19:00 - 20:00,15300.9,13990.2
20:00 - 21:00,13988.0,13126.5
21:00 - 22:00,12741.0,12328.7
22:00 - 23:00,12507.9,12403.7
