period,buy_volume,sell_volume
23:00 - 00:00,11548.0,10908.3
00:00 - 01:00,11658.2,10876.2
01:00 - 02:00,10889.0,10068.3
02:00 - 03:00,10781.6,10041.6
03:00 - 04:00,10676.8,10111.4
04:00 - 05:00,10066.3,9637.8
05:00 - 06:00,10349.0,10072.0
06:00 - 07:00,13372.0,13550.3
07:00 - 08:00,15517.2,16160.5
08:00 - 09:00,16878.4,17875.8
09:00 - 10:00,17981.6,18836.0
10:00 - 11:00,18140.7,18545.7
11:00 - 12:00,17763.3,18278.3
12:00 - 13:00,17539.0,18294.5
13:00 - 14:00,17089.4,18283.6
14:00 - 15:00,16893.8,18342.8
15:00 - 16:00,17516.5,18965.5
16:00 - 17:00,18835.1,20284.1
17:00 - 18:00,19601.7,21050.7
18:00 - 19:00,18902.6,20351.6
19:00 - 20:00,18649.4,20098.4
20:00 - 21:00,16650.8,17727.7
21:00 - 22:00,13659.1,14271.0
22:00 - 23:00,13616.8,14011.4
